ZIP,Number of returns,Amount
90068,114464,5090
90068,476,160
90068,1168,410
90068,2347,570
90068,4087,660
90068,16439,1620
90068,89947,1670
90069,199564,6190
90069,977,180
90069,1221,420
90069,2995,690
90069,5560,890
90069,25019,2180
90069,163792,1830
90077,218140,2430
90077,314,70
90077,502,70
90077,762,110
90077,1027,170
90077,5221,520
90077,210314,1490
90094,52474,2670
90094,59,40
90094,310,100
90094,708,190
90094,2042,320
90094,10442,990
90094,38913,1030
90201,11838,3880
90201,182,280
90201,1653,1330
90201,2776,1160
90201,2395,620
90201,2930,450
90201,1902,40
90210,700149,5370
90210,1129,150
90210,1374,190
90210,1816,250
90210,3102,340
90210,12398,1070
90210,680330,3370
90211,159686,2290
90211,254,80
90211,542,130
90211,651,170
90211,1548,230
90211,6516,610
90211,150175,1070
90212,353537,3340
90212,485,110
90212,549,160
90212,1518,270
90212,2334,330
90212,10418,910
90212,338233,1560
90220,15887,4070
90220,142,210
90220,1588,1240
90220,3151,1300
90220,2792,730
90220,3531,540
90220,4683,50
90221,9464,3470
90221,161,250
90221,1405,1170
90221,2386,1050
90221,2203,600
90221,2370,380
90221,939,20
90222,5709,2160
90222,58,110
90222,907,720
90222,1711,720
90222,1442,370
90222,1591,240
90230,85328,6150
90230,495,140
90230,822,410
90230,2643,790
90230,4861,950
90230,22614,2510
90230,53893,1350
90232,46683,3020
90232,214,60
90232,503,190
90232,1292,340
90232,2450,440
90232,10503,1090
90232,31721,900
90240,34241,3710
90240,238,90
90240,775,410
90240,1950,640
90240,3021,710
90240,10475,1380
90240,17782,480
90241,34223,4930
90241,135,130
90241,1050,710
90241,2575,910
90241,4117,970
90241,13197,1770
90241,13149,440
90242,22379,4540
90242,159,160
90242,978,720
90242,2724,1040
90242,4111,1000
90242,10241,1450
90242,4166,170
90245,66651,4030
90245,214,70
90245,383,170
90245,1274,370
90245,3068,570
90245,16225,1650
90245,45487,1200
90247,21274,4530
90247,172,180
90247,1321,860
90247,3081,1140
90247,4084,970
90247,9306,1210
90247,3310,170
90248,13010,1500
90248,53,40
90248,449,210
90248,760,300
90248,1473,300
90248,3893,500
90248,6382,150
90249,17577,3420
90249,129,110
90249,825,530
90249,2128,800
90249,2993,700
90249,8403,1120
90249,3099,160
90250,60867,9110
90250,362,300
90250,2311,1730
90250,5097,1950
90250,6966,1620
90250,22103,2740
90250,24028,770
90254,167206,5560
90254,385,100
90254,595,210
90254,1780,400
90254,4421,710
90254,20546,1970
90254,139479,2170
90255,10511,3580
90255,146,230
90255,1446,1160
90255,2574,1070
90255,2508,620
90255,3025,470
90255,812,30
90260,16691,3140
90260,104,100
90260,829,600
90260,1996,740
90260,2917,630
90260,7376,920
90260,3469,150
90262,12204,4300
90262,215,250
90262,1752,1350
90262,3048,1270
90262,3099,830
90262,3553,570
90262,537,30
90265,175244,3340
90265,352,100
90265,518,140
90265,1135,220
90265,1650,290
90265,9111,910
90265,162478,1680
90266,509103,9690
90266,578,150
90266,1381,270
90266,2107,410
90266,4292,690
90266,28425,2690
90266,472320,5480
90270,3192,1240
90270,58,100
90270,522,440
90270,931,390
90270,710,190
90270,971,120
90272,583816,6180
90272,683,150
90272,945,170
90272,1401,280
90272,2724,380
90272,15431,1410
90272,562632,3790
90274,406294,7400
90274,581,110
90274,638,180
90274,1466,370
90274,2556,470
90274,19855,2030
90274,381198,4240
90275,249100,10160
90275,571,130
90275,1099,310
90275,1910,590
90275,4401,910
90275,33518,3730
90275,207601,4490
90277,156910,8950
90277,535,160
90277,1127,390
90277,2954,790
90277,6568,1170
90277,34188,3530
90277,111538,2910
90278,123951,9390
90278,277,130
90278,1022,400
90278,2719,810
90278,6330,1220
90278,37118,3940
90278,76485,2890
90280,21634,6770
90280,234,340
90280,2352,1890
90280,4725,1990
90280,5074,1330
90280,7161,1140
90280,2088,80
90290,38392,1300
90290,172,50
90290,143,60
90290,458,100
90290,707,140
90290,4523,480
90290,32389,470
90291,178258,5680
90291,716,150
90291,966,320
90291,2539,570
90291,4912,810
90291,22745,2120
90291,146380,1710
90292,177428,6780
90292,539,140
90292,951,320
90292,2351,550
90292,4899,780
90292,29919,2730
90292,138769,2260
90293,54723,3490
90293,149,50
90293,539,190
90293,1886,400
90293,3491,620
90293,13845,1410
90293,34813,820
90301,9102,2410
90301,81,110
90301,1060,750
90301,1860,730
90301,1732,420
90301,2415,340
90301,1954,60
90302,16316,2620
90302,143,120
90302,796,580
90302,2130,750
90302,2076,470
90302,4552,600
90302,6619,100
90303,7312,1980
90303,119,110
90303,622,490
90303,1219,530
90303,1619,400
90303,2725,390
90303,1008,60
90304,4771,1320
90304,83,100
90304,498,410
90304,863,360
90304,883,210
90304,1507,200
90304,937,40
90305,14354,2920
90305,88,100
90305,730,440
90305,1933,700
90305,2773,640
90305,6727,910
90305,2103,130
90401,115914,1750
90401,81,40
90401,322,100
90401,603,140
90401,1857,240
90401,7605,660
90401,105446,570
90402,321593,3090
90402,261,90
90402,574,90
90402,589,120
90402,1802,190
90402,7030,640
90402,311337,1960
90403,171479,6430
90403,521,130
90403,1080,290
90403,2377,540
90403,5110,820
90403,26082,2370
90403,136309,2280
90404,79904,3590
90404,199,100
90404,588,270
90404,1619,400
90404,3404,580
90404,14340,1370
90404,59754,870
90405,198446,6630
90405,552,150
90405,917,330
90405,2218,560
90405,5531,910
90405,25219,2410
90405,164009,2270
90501,52357,5390
90501,215,150
90501,816,530
90501,2417,830
90501,4225,880
90501,18063,2180
90501,26621,820
90502,17283,2800
90502,83,70
90502,509,370
90502,1654,600
90502,2406,540
90502,8085,1040
90502,4546,180
90503,111082,8070
90503,197,110
90503,930,420
90503,2652,850
90503,5568,1120
90503,31709,3640
90503,70026,1930
90504,39995,5270
90504,135,100
90504,639,420
90504,2129,720
90504,4218,930
90504,20111,2480
90504,12763,620
90505,88324,6880
90505,357,110
90505,656,350
90505,2011,630
90505,4123,880
90505,25574,2990
90505,55603,1920
90601,34378,4840
90601,104,90
90601,715,490
90601,2548,890
90601,4554,1010
90601,13774,1800
90601,12683,560
90602,18278,2540
90602,43,80
90602,560,370
90602,1400,500
90602,1954,450
90602,6693,880
90602,7628,260
90603,35480,3960
90603,49,60
90603,431,240
90603,1454,510
90603,3516,750
90603,14010,1860
90603,16020,540
90604,28111,5280
90604,114,100
90604,926,610
90604,2658,1030
90604,4647,1140
90604,15323,2160
90604,4443,240
90605,40023,5040
90605,126,120
90605,986,680
90605,2790,1030
90605,4324,1080
90605,11956,1690
90605,19841,440
90606,15467,3670
90606,83,100
90606,882,640
90606,2303,900
90606,3388,860
90606,7455,1090
90606,1356,80
90620,41568,6680
90620,117,140
90620,1019,700
90620,2971,1130
90620,5507,1380
90620,21389,2860
90620,10565,470
90621,27669,3170
90621,106,90
90621,574,420
90621,1762,620
90621,2929,650
90621,8074,1030
90621,14224,360
90623,24141,2700
90623,111,60
90623,331,180
90623,1039,350
90623,1832,420
90623,9875,1240
90623,10953,450
90630,77799,8370
90630,181,120
90630,972,570
90630,2864,1020
90630,6000,1360
90630,31212,3920
90630,36570,1380
90631,90339,9070
90631,606,200
90631,1471,920
90631,4252,1470
90631,7022,1640
90631,26599,3510
90631,50389,1330
90638,55877,7700
90638,280,180
90638,1007,660
90638,3293,1200
90638,6131,1480
90638,25780,3410
90638,19386,770
90640,34245,5930
90640,175,190
90640,1362,970
90640,3772,1340
90640,5339,1230
90640,13889,1840
90640,9708,360
90650,45218,11240
90650,308,340
90650,2876,2130
90650,7212,2840
90650,9860,2550
90650,20734,3140
90650,4228,240
90660,26859,6520
90660,287,250
90660,1728,1260
90660,4394,1700
90660,5501,1400
90660,11901,1760
90660,3048,150
90670,17799,2310
90670,51,70
90670,517,340
90670,1327,500
90670,1955,470
90670,5592,790
90670,8357,140
90680,12734,2750
90680,66,80
90680,733,490
90680,1845,690
90680,2699,640
90680,5595,770
90680,1796,80
90701,10535,1510
90701,36,50
90701,348,260
90701,852,310
90701,1261,290
90701,3621,480
90701,4417,120
90703,91261,9100
90703,458,160
90703,1099,590
90703,3300,1080
90703,6373,1420
90703,33687,4090
90703,46344,1760
90706,36573,7520
90706,197,220
90706,1966,1350
90706,4438,1730
90706,6494,1570
90706,17292,2370
90706,6186,280
90710,20105,3150
90710,106,90
90710,502,360
90710,1634,580
90710,2653,610
90710,9706,1260
90710,5504,250
90712,44196,6180
90712,104,100
90712,722,480
90712,2692,920
90712,5354,1250
90712,22173,2910
90712,13151,520
90713,40199,5800
90713,191,90
90713,561,350
90713,2083,730
90713,4819,1130
90713,22943,2970
90713,9602,530
90715,12566,2500
90715,45,60
90715,542,360
90715,1398,520
90715,2265,540
90715,6698,930
90715,1618,90
90716,2317,800
90716,20,50
90716,272,240
90716,572,240
90716,551,150
90716,902,120
90717,21242,2940
90717,164,70
90717,482,280
90717,1449,460
90717,2597,560
90717,10054,1240
90717,6496,330
90720,75012,4470
90720,188,70
90720,397,200
90720,1024,340
90720,2657,560
90720,16079,1820
90720,54667,1480
90723,14174,3770
90723,170,200
90723,1309,1010
90723,2787,1140
90723,2844,730
90723,4031,610
90723,3033,80
90731,50280,6630
90731,387,180
90731,1485,840
90731,3320,1090
90731,5744,1190
90731,21846,2640
90731,17498,690
90732,43132,4510
90732,162,70
90732,478,240
90732,1823,590
90732,3976,830
90732,16952,1970
90732,19741,810
90740,71272,4900
90740,232,110
90740,568,270
90740,1978,540
90740,3189,650
90740,17101,1960
90740,48204,1370
90744,15811,3530
90744,97,120
90744,981,750
90744,2089,850
90744,2540,640
90744,8060,1060
90744,2044,110
90745,40532,7690
90745,204,260
90745,1755,1290
90745,4339,1650
90745,6099,1500
90745,19359,2670
90745,8776,320
90746,27461,4840
90746,106,140
90746,857,620
90746,2570,1000
90746,4420,1050
90746,12523,1740
90746,6985,290
90755,19866,2030
90755,96,40
90755,290,210
90755,969,320
90755,2101,420
90755,6402,730
90755,10008,310
90802,44659,5020
90802,220,140
90802,1127,640
90802,3227,1000
90802,6329,1140
90802,15166,1630
90802,18590,470
90803,145888,7560
90803,432,140
90803,928,390
90803,2738,770
90803,6992,1270
90803,26114,2810
90803,108684,2180
90804,20205,3160
90804,162,110
90804,855,520
90804,2442,730
90804,3629,700
90804,7365,880
90804,5752,220
90805,27611,7530
90805,254,290
90805,2205,1690
90805,5511,2170
90805,6334,1640
90805,10982,1610
90805,2325,130
90806,17423,3470
90806,140,140
90806,1023,710
90806,2104,790
90806,2789,660
90806,7550,1020
90806,3817,150
90807,65074,6170
90807,231,120
90807,978,550
90807,3070,1020
90807,5129,1080
90807,19870,2390
90807,35796,1010
90808,80814,8920
90808,244,110
90808,916,430
90808,2765,940
90808,6869,1510
90808,35949,4450
90808,34071,1480
90810,14640,3610
90810,97,150
90810,1120,800
90810,2358,970
90810,2791,730
90810,5761,870
90810,2513,90
90813,7519,1910
90813,124,130
90813,784,570
90813,1434,500
90813,1688,350
90813,2416,310
90813,1073,50
90814,36402,3220
90814,89,70
90814,462,270
90814,1599,430
90814,3161,620
90814,10460,1170
90814,20631,660
90815,83483,8090
90815,223,120
90815,963,480
90815,2893,950
90815,6359,1360
90815,30191,3690
90815,42854,1490
91001,99139,7270
91001,463,200
91001,868,470
91001,2457,810
91001,4916,1050
91001,25015,2870
91001,65420,1870
91006,108797,5390
91006,517,130
91006,790,310
91006,1689,510
91006,3600,710
91006,17868,2070
91006,84333,1660
91007,75512,4640
91007,268,120
91007,678,280
91007,1776,500
91007,3339,660
91007,15461,1770
91007,53990,1310
91008,9323,240
91008,93,30
91008,212,30
91008,856,80
91008,8162,100
91010,23854,3310
91010,62,80
91010,600,430
91010,1846,680
91010,2775,660
91010,9024,1180
91010,9547,280
91011,253124,5260
91011,223,70
91011,476,130
91011,840,230
91011,1758,340
91011,13036,1430
91011,236791,3060
91016,57200,5940
91016,255,120
91016,957,490
91016,2526,900
91016,4811,1040
91016,19957,2440
91016,28694,950
91020,8799,1060
91020,59,20
91020,160,100
91020,417,140
91020,1061,200
91020,3644,450
91020,3458,150
91024,45263,2410
91024,287,50
91024,315,100
91024,815,200
91024,1561,290
91024,8242,930
91024,34043,840
91030,106508,4970
91030,298,100
91030,592,240
91030,1544,450
91030,3326,610
91030,15868,1760
91030,84880,1810
91040,30895,3490
91040,122,100
91040,545,330
91040,1664,570
91040,2906,640
91040,11305,1450
91040,14353,400
91042,25191,3730
91042,122,120
91042,695,430
91042,1891,710
91042,2836,670
91042,11109,1440
91042,8538,360
