ZIP,Number of returns,Amount
91722,2834,160
91723,12696,2200
91723,40,50
91723,410,290
91723,1226,430
91723,1900,440
91723,6353,870
91723,2767,120
91724,33003,4080
91724,153,100
91724,617,360
91724,1798,600
91724,3393,770
91724,13458,1760
91724,13584,490
91730,53595,8420
91730,327,260
91730,1641,1070
91730,4570,1690
91730,8404,1920
91730,22622,3000
91730,16031,480
91731,10304,1450
91731,58,80
91731,426,350
91731,990,390
91731,1101,270
91731,2414,310
91731,5315,50
91732,14027,3320
91732,166,150
91732,1113,890
91732,2069,820
91732,2553,620
91732,5279,730
91732,2847,110
91733,8956,1960
91733,117,110
91733,609,510
91733,1360,500
91733,1562,370
91733,2965,410
91733,2343,60
91737,53084,4430
91737,119,100
91737,491,270
91737,1419,500
91737,2938,660
91737,15166,1920
91737,32951,980
91739,104010,6850
91739,182,110
91739,643,410
91739,2017,730
91739,4280,980
91739,24148,3120
91739,72740,1500
91740,27007,3860
91740,102,70
91740,559,360
91740,1689,620
91740,3315,790
91740,12555,1680
91740,8787,340
91741,75988,5060
91741,185,90
91741,476,250
91741,1668,530
91741,3096,720
91741,18566,2300
91741,51997,1170
91744,23852,6310
91744,218,290
91744,1759,1460
91744,4263,1760
91744,4922,1330
91744,9103,1370
91744,3587,100
91745,71390,7320
91745,295,220
91745,1385,800
91745,3499,1220
91745,5569,1250
91745,22759,2870
91745,37883,960
91746,22537,2470
91746,85,100
91746,761,560
91746,1691,670
91746,2076,530
91746,3840,540
91746,14084,70
91748,48975,4680
91748,269,140
91748,949,570
91748,2212,790
91748,3553,810
91748,12986,1670
91748,29006,700
91750,69959,5920
91750,187,90
91750,900,380
91750,2038,710
91750,4022,940
91750,20702,2680
91750,42110,1120
91752,22969,4170
91752,193,120
91752,736,470
91752,2183,840
91752,3461,840
91752,11761,1640
91752,4635,260
91754,40774,3960
91754,149,90
91754,700,410
91754,2126,630
91754,3217,670
91754,13503,1570
91754,21079,590
91755,18406,2590
91755,102,70
91755,480,310
91755,1357,460
91755,2209,480
91755,8191,990
91755,6067,280
91761,39936,6780
91761,163,170
91761,1347,960
91761,4158,1560
91761,6259,1600
91761,15244,2210
91761,12765,280
91762,25972,5320
91762,203,180
91762,1426,1010
91762,3447,1380
91762,4454,1120
91762,10102,1420
91762,6340,210
91763,15436,3170
91763,104,110
91763,790,620
91763,2056,820
91763,2555,690
91763,5764,830
91763,4167,100
91764,17629,4200
91764,119,170
91764,1179,890
91764,2912,1160
91764,3803,950
91764,6191,930
91764,3425,100
91765,94907,8010
91765,468,170
91765,1288,650
91765,3240,1060
91765,5895,1300
91765,26497,3350
91765,57519,1480
91766,26719,5220
91766,165,200
91766,1196,960
91766,3123,1260
91766,3902,1000
91766,10713,1470
91766,7620,330
91767,20158,4500
91767,122,150
91767,1034,820
91767,2895,1180
91767,3908,990
91767,8784,1240
91767,3415,120
91768,11314,2400
91768,89,110
91768,634,520
91768,1556,600
91768,2000,500
91768,4045,570
91768,2990,100
91770,26621,4310
91770,273,150
91770,1227,790
91770,2810,990
91770,3839,860
91770,9931,1250
91770,8541,270
91773,61642,6030
91773,209,110
91773,740,430
91773,2465,780
91773,4769,1090
91773,20893,2650
91773,32566,970
91775,43818,3810
91775,273,90
91775,397,240
91775,1344,420
91775,2392,540
91775,13699,1630
91775,25713,890
91776,19240,2930
91776,127,100
91776,805,480
91776,1660,590
91776,2576,540
91776,8134,980
91776,5938,240
91780,38800,4450
91780,144,90
91780,674,400
91780,1974,700
91780,3194,730
91780,15015,1890
91780,17799,640
91784,75809,5800
91784,166,90
91784,641,290
91784,1641,520
91784,3616,770
91784,21573,2660
91784,48172,1470
91786,33667,5400
91786,245,150
91786,1130,690
91786,2657,1010
91786,4864,1160
91786,15029,1990
91786,9742,400
91789,99329,7110
91789,400,180
91789,1203,510
91789,2530,880
91789,4642,1030
91789,24738,3010
91789,65816,1500
91790,28548,5410
91790,242,160
91790,1051,760
91790,3115,1150
91790,4623,1090
91790,14370,2020
91790,5147,230
91791,49586,4960
91791,219,120
91791,866,510
91791,2509,760
91791,3946,870
91791,15256,1970
91791,26790,730
91792,17814,3510
91792,154,110
91792,659,470
91792,1908,740
91792,3017,750
91792,9181,1280
91792,2895,160
91801,42371,5120
91801,219,120
91801,1159,660
91801,2757,950
91801,4897,990
91801,15845,1850
91801,17494,550
91803,21389,3120
91803,82,90
91803,599,400
91803,1618,550
91803,3009,600
91803,9801,1200
91803,6280,280
91901,32601,2790
91901,89,50
91901,237,120
91901,849,300
91901,1755,410
91901,10124,1300
91901,19547,610
91902,30869,3070
91902,90,50
91902,266,170
91902,894,300
91902,1926,460
91902,10627,1450
91902,17066,640
91905,517,110
91905,67,30
91905,100,30
91905,350,50
91906,1538,320
91906,79,50
91906,167,70
91906,276,80
91906,1016,120
91910,53616,7810
91910,171,160
91910,1321,810
91910,3662,1390
91910,6385,1580
91910,22766,3200
91910,19311,670
91911,32058,6590
91911,177,180
91911,1405,930
91911,3544,1410
91911,5324,1460
91911,15663,2340
91911,5945,270
91913,52609,7460
91913,115,90
91913,660,440
91913,2355,950
91913,5484,1390
91913,26828,3800
91913,17167,790
91914,34915,3220
91914,57,50
91914,280,140
91914,750,250
91914,1707,430
91914,11921,1580
91914,20200,770
91915,34464,4920
91915,54,50
91915,474,290
91915,1462,570
91915,3448,900
91915,18256,2550
91915,10770,560
91916,3307,320
91916,31,20
91916,165,60
91916,304,70
91916,1040,130
91916,1767,40
91917,321,70
91917,128,40
91917,193,30
91932,9550,1700
91932,56,60
91932,371,250
91932,901,350
91932,1346,330
91932,4379,590
91932,2497,120
91934,185,40
91934,42,20
91934,143,20
91935,21895,1600
91935,41,40
91935,238,90
91935,457,150
91935,834,220
91935,5679,700
91935,14646,400
91941,57386,5440
91941,301,90
91941,840,330
91941,2067,680
91941,3707,850
91941,18610,2380
91941,31861,1110
91942,35078,5240
91942,231,110
91942,790,460
91942,2766,960
91942,5100,1150
91942,16907,2210
91942,9284,350
91945,12589,2800
91945,89,80
91945,582,420
91945,1607,620
91945,2644,670
91945,6141,930
91945,1526,80
91950,11343,2930
91950,93,110
91950,919,630
91950,1959,820
91950,2289,610
91950,4411,700
91950,1672,60
91962,2616,360
91962,31,30
91962,122,40
91962,261,70
91962,1263,180
91962,939,40
91963,237,50
91963,47,30
91963,190,20
91977,32057,6300
91977,186,150
91977,1113,820
91977,3441,1370
91977,5287,1380
91977,15526,2290
91977,6504,290
91978,7581,1190
91978,24,20
91978,213,120
91978,567,210
91978,884,220
91978,3632,510
91978,2261,110
91980,136,40
91980,136,40
92003,14089,910
92003,49,30
92003,169,80
92003,401,130
92003,506,110
92003,2693,330
92003,10271,230
92004,2082,270
92004,42,40
92004,181,50
92004,204,50
92004,647,90
92004,1008,40
92007,54376,2500
92007,95,50
92007,497,140
92007,854,220
92007,1472,300
92007,8507,910
92007,42951,880
92008,74901,4840
92008,177,100
92008,836,290
92008,1527,460
92008,3469,690
92008,17418,1970
92008,51474,1330
92009,191270,10520
92009,447,170
92009,1018,380
92009,2947,780
92009,5443,1070
92009,35070,4000
92009,146345,4120
92010,36916,3340
92010,134,50
92010,287,160
92010,1152,320
92010,1830,440
92010,12950,1530
92010,20563,840
92011,85233,5220
92011,311,100
92011,546,200
92011,1313,370
92011,2837,550
92011,18523,2090
92011,61703,1910
92014,162780,3920
92014,450,80
92014,669,120
92014,1014,220
92014,2023,330
92014,11843,1160
92014,146781,2010
92019,63578,6250
92019,341,140
92019,969,460
92019,2593,900
92019,4559,1080
92019,19734,2630
92019,35382,1040
92020,48867,5530
92020,201,140
92020,1009,560
92020,2130,820
92020,4046,970
92020,17162,2250
92020,24319,790
92021,43187,6310
92021,176,150
92021,1144,730
92021,3189,1190
92021,4808,1200
92021,17466,2480
92021,16404,560
92024,250043,10590
92024,757,240
92024,1351,440
92024,3166,860
92024,5715,1140
92024,36477,3900
92024,202577,4010
92025,44234,4530
92025,145,110
92025,833,420
92025,1960,690
92025,2926,690
92025,14280,1780
92025,24090,840
92026,53195,6720
92026,218,150
92026,760,540
92026,2741,1050
92026,5076,1230
92026,22273,2950
92026,22127,800
92027,40780,5800
92027,139,160
92027,908,660
92027,2646,1040
92027,4508,1120
92027,16657,2220
92027,15922,600
92028,60733,6300
92028,359,150
92028,1001,510
92028,2489,860
92028,4040,1020
92028,19874,2690
92028,32970,1070
92029,58109,3620
92029,294,70
92029,462,200
92029,1090,340
92029,2465,510
92029,12524,1580
92029,41274,920
92036,3509,430
92036,84,50
92036,221,90
92036,295,80
92036,1112,160
92036,1797,50
92037,392653,8960
92037,886,180
92037,1270,300
92037,2486,580
92037,4357,780
92037,26874,2700
92037,356780,4420
92040,40041,5680
92040,218,110
92040,880,470
92040,2393,890
92040,4402,1100
92040,18951,2600
92040,13197,510
92054,33004,4040
92054,261,130
92054,1080,470
92054,2083,670
92054,3254,700
92054,12326,1540
92054,14000,530
92056,55536,7790
92056,281,180
92056,1201,690
92056,3518,1250
92056,6004,1480
92056,25877,3330
92056,18655,860
92057,49359,7530
92057,179,170
92057,1212,810
92057,3215,1250
92057,5404,1390
92057,23155,3110
92057,16194,800
92058,12813,2270
92058,117,80
92058,662,300
92058,1106,440
92058,1829,460
92058,6190,850
92058,2909,140
92059,1351,120
92059,50,20
92059,265,30
92059,398,40
92059,638,30
92061,5529,270
92061,34,20
92061,103,40
92061,182,40
92061,800,100
92061,4410,70
92064,156297,9230
92064,278,120
92064,689,390
92064,2760,780
92064,4836,1110
92064,34401,4030
92064,113333,2800
92065,50697,6010
92065,193,100
92065,761,380
92065,2062,740
92065,4456,1090
92065,21513,2860
92065,21712,840
92066,223,40
92066,223,40
92069,45460,5600
92069,98,110
92069,750,440
92069,1966,740
92069,4079,980
92069,19684,2590
92069,18883,740
92070,803,100
92070,145,50
92070,658,50
92071,56083,8470
92071,285,150
92071,1067,660
92071,3874,1400
92071,6899,1710
92071,28728,3870
92071,15230,680
92075,95172,3070
92075,329,70
92075,436,130
92075,830,190
92075,1742,310
92075,10251,1040
92075,81584,1330
92078,91965,7770
92078,375,120
92078,931,420
92078,2425,810
92078,4594,1030
92078,29154,3480
92078,54486,1910
92081,38438,4360
92081,249,100
92081,701,340
92081,1746,580
92081,3681,850
92081,15466,1910
92081,16595,580
92082,28588,2900
92082,117,70
92082,348,180
92082,1057,350
92082,2015,450
92082,9690,1260
92082,15361,590
92083,14820,2970
92083,103,100
92083,630,470
92083,1741,680
92083,2483,620
92083,7142,970
92083,2721,130
92084,47626,4990
92084,236,140
92084,1052,490
92084,2146,790
92084,3309,800
92084,16014,2040
92084,24869,730
92086,415,90
92086,114,50
92086,301,40
92091,23585,330
92091,89,30
92091,71,20
92091,158,20
92091,924,90
92091,22343,170
92101,124136,7360
92101,611,140
92101,1101,410
92101,3157,810
92101,7533,1240
92101,31010,3060
92101,80724,1700
92102,16713,2610
92102,130,90
92102,663,470
92102,1665,580
92102,2470,510
92102,6200,730
92102,5585,230
92103,105761,6420
92103,313,150
92103,1278,440
92103,2622,710
92103,6254,1070
92103,22409,2340
92103,72885,1710
92104,61553,5600
92104,284,160
92104,977,550
92104,2961,930
92104,6106,1120
92104,18517,2040
92104,32708,800
92105,12623,3060
92105,114,150
92105,859,630
92105,2136,820
92105,3016,660
92105,5266,730
92105,1232,70
92106,77619,3840
92106,216,70
92106,441,170
92106,1178,310
92106,2170,420
92106,12480,1440
92106,61134,1430
92107,68513,4450
92107,225,80
92107,648,320
92107,1724,520
92107,4072,730
92107,15896,1740
92107,45948,1060
92108,40588,3710
92108,96,80
92108,739,340
92108,1967,600
92108,4327,780
92108,13288,1440
92108,20171,470
92109,102249,7060
92109,454,130
92109,1100,540
92109,3457,900
92109,7987,1310
92109,24266,2570
92109,64985,1610
92110,46763,3770
92110,118,90
92110,590,310
92110,1924,600
92110,3418,640
92110,12450,1410
92110,28263,720
92111,47276,5430
92111,390,150
92111,1065,530
92111,2658,910
92111,4976,1060
92111,18672,2230
92111,19515,550
92113,4815,1520
92113,141,90
92113,569,420
92113,1109,480
92113,1077,280
92113,1491,230
92113,428,20
92114,22258,6190
92114,192,230
92114,1497,1160
92114,3919,1630
92114,4803,1380
92114,9997,1660
92114,1850,130
92115,46696,5280
92115,205,140
92115,888,600
92115,2711,950
92115,4849,1050
92115,16358,1980
92115,21685,560
92116,49292,4930
92116,221,120
92116,811,440
92116,2625,760
92116,5072,920
92116,17217,1880
92116,23346,810
92117,72292,7930
92117,354,180
92117,1169,640
92117,3285,1160
92117,6712,1420
92117,27916,3380
92117,32856,1150
92118,63943,2920
92118,102,40
92118,384,110
92118,676,200
92118,1325,270
92118,9211,1020
92118,52245,1280
92119,35323,4350
92119,83,70
92119,555,290
92119,1692,580
92119,3350,730
92119,16614,2070
92119,13029,610
92120,56873,5330
92120,198,80
92120,746,310
92120,1990,620
92120,3561,800
92120,19653,2440
92120,30725,1080
92121,33022,1120
92121,156,50
92121,264,80
92121,659,120
92121,4104,430
92121,27839,440
92122,85744,6560
92122,329,110
92122,750,320
92122,2385,660
92122,4944,930
92122,25566,2780
92122,51770,1760
92123,37551,4120
92123,156,110
92123,604,350
92123,1713,590
92123,3819,810
92123,15052,1790
92123,16207,470
92124,44818,4370
92124,162,70
92124,437,240
92124,1450,470
92124,3471,700
92124,16805,2020
92124,22493,870
92126,79622,10400
92126,293,190
92126,1422,860
92126,4674,1630
92126,9144,2020
92126,37078,4560
92126,27011,1140
92127,206914,10040
92127,313,110
92127,577,290
92127,1991,590
92127,4243,840
92127,33476,3790
92127,166314,4420
92128,115519,10460
92128,338,180
92128,966,470
92128,3367,1090
92128,7045,1510
92128,40150,4740
92128,63653,2470
92129,125665,10500
92129,237,140
92129,762,410
92129,2487,810
92129,5576,1210
92129,41242,4860
92129,75361,3070
92130,389713,13200
92130,808,190
92130,1081,340
92130,2856,600
92130,5391,990
92130,42024,4240
92130,337553,6840
92131,153446,8760
92131,242,100
92131,629,250
92131,1707,510
92131,4147,810
92131,31813,3660
92131,114908,3430
92139,14386,3550
92139,76,100
92139,706,550
92139,2088,850
92139,3095,830
92139,7134,1140
92139,1287,80
92154,29746,6700
92154,277,210
92154,1271,960
92154,3668,1560
92154,5335,1480
92154,14448,2230
92154,4747,260
92173,5646,1450
92173,67,70
92173,374,300
92173,935,400
92173,1102,310
92173,2076,330
92173,1092,40
92201,22937,4050
92201,200,180
92201,1019,760
92201,2016,870
92201,2797,740
92201,8380,1210
92201,8525,290
92203,30670,4450
92203,215,110
92203,780,430
92203,1866,740
92203,3261,820
92203,13298,1920
92203,11250,430
92210,34057,930
92210,96,30
92210,118,40
92210,263,60
92210,608,110
92210,2552,300
92210,30420,390
92211,40034,4230
92211,438,130
92211,760,340
92211,1896,600
92211,3097,720
92211,13378,1690
92211,20465,750
92220,12763,2440
92220,126,100
92220,595,440
92220,1712,570
92220,1960,500
92220,4418,640
92220,3952,190
92223,47366,8230
92223,264,190
92223,1120,740
92223,3773,1500
92223,7031,1850
92223,23345,3440
92223,11833,510
92225,5265,1100
92225,40,50
92225,245,210
92225,566,210
92225,954,240
92225,2264,340
92225,1196,50
92227,17944,1700
92227,82,40
92227,238,170
92227,798,280
92227,1474,350
92227,4927,640
92227,10425,220
92230,346,90
92230,30,30
92230,44,20
92230,272,40
92231,7383,1580
92231,19,50
92231,318,260
92231,788,360
92231,1254,340
92231,3160,490
92231,1844,80
92233,1004,130
92233,58,30
92233,152,30
92233,794,70
92234,21741,4070
92234,234,220
92234,1066,770
92234,2295,850
92234,3159,770
92234,9093,1200
92234,5894,260
92236,4644,1900
92236,65,110
92236,712,680
92236,1175,560
92236,976,310
92236,1716,240
92240,6824,1860
92240,96,130
92240,801,510
92240,1231,500
92240,1228,300
92240,2683,370
92240,785,50
92241,1725,340
92241,224,90
92241,193,80
92241,272,60
92241,1036,110
92242,149,30
92242,149,30
92243,24623,2850
92243,116,80
92243,353,280
92243,1201,450
92243,2479,610
92243,8313,1120
92243,12161,310
92249,1695,450
92249,79,80
92249,233,100
92249,468,130
92249,915,140
92250,4924,470
92250,76,50
92250,230,90
92250,297,80
92250,1444,190
92250,2877,60
92251,14104,2510
92251,49,50
92251,299,210
92251,1093,430
92251,2436,610
92251,7774,1090
92251,2453,120
92252,3034,560
92252,21,30
92252,162,90
92252,327,120
92252,475,110
92252,1479,190
92252,570,20
92253,68946,5620
92253,943,190
92253,1064,500
92253,2207,750
92253,3482,860
92253,16979,2140
92253,44271,1180
92254,336,160
92254,72,70
92254,106,50
92254,158,40
92256,1579,280
92256,89,70
92256,131,50
92256,330,60
92256,1029,100
92257,127,30
92257,127,30
92260,50452,3670
92260,371,180
92260,1181,410
92260,1882,560
92260,3165,600
92260,10580,1230
92260,33273,690
92262,36586,3210
92262,397,120
92262,777,330
92262,1690,510
92262,2554,510
92262,10336,1110
92262,20832,630
92264,31385,2610
92264,291,110
92264,611,250
92264,1626,370
92264,2267,420
92264,8042,890
92264,18548,570
92270,64954,3250
92270,289,100
92270,818,200
92270,1214,300
92270,2064,380
92270,9656,1100
92270,50913,1170
92274,1269,360
92274,20,30
92274,101,100
92274,219,100
92274,164,50
92274,765,80
92276,1772,440
92276,22,30
92276,129,100
92276,258,110
92276,383,100
92276,980,100
92277,4849,980
92277,31,40
92277,261,150
92277,576,210
92277,778,190
92277,2347,350
92277,856,40
92281,412,70
92281,140,40
92281,272,30
92282,203,60
92282,82,40
92282,121,20
92283,65,30
92283,65,30
92284,9360,1690
92284,101,60
92284,393,230
92284,1025,360
92284,1439,340
92284,4510,600
92284,1892,100
92285,264,70
92285,21,20
92285,80,30
92285,163,20
92301,5867,1980
92301,76,120
92301,731,580
92301,1494,640
92301,1177,340
92301,1658,280
92301,731,20
92305,466,90
92305,72,30
92305,71,20
92305,323,40
92307,28366,4330
92307,192,130
92307,793,540
92307,2127,800
92307,3443,890
92307,11500,1630
92307,10311,340
92308,25369,3810
92308,143,140
92308,923,580
92308,1996,760
92308,2756,730
92308,9339,1330
92308,10212,270
92310,336,100
92310,40,30
92310,54,20
92310,58,20
92310,184,30
92311,8261,1750
92311,59,60
92311,426,240
92311,1295,450
92311,1421,370
92311,3667,560
92311,1393,70
92313,10126,1770
92313,12,30
92313,265,200
92313,1272,370
92313,1537,380
92313,4746,670
92313,2294,120
92314,4994,890
92314,82,40
92314,207,120
92314,545,190
92314,652,170
92314,2177,310
92314,1331,60
92315,6722,770
92315,26,30
92315,198,80
92315,309,130
92315,487,120
92315,2062,280
92315,3640,130
92316,7270,2240
92316,113,110
92316,689,550
92316,1600,680
92316,1683,460
92316,2442,400
92316,743,40
92320,7366,1220
92320,47,40
92320,181,130
92320,559,210
92320,970,250
92320,3446,500
92320,2163,90
92324,21273,4370
92324,261,190
92324,1308,990
92324,2868,1160
92324,3216,850
92324,6571,970
92324,7049,210
92335,17279,5590
92335,240,250
92335,2301,1640
92335,3890,1700
92335,4012,1130
92335,5113,810
92335,1723,60
92336,74457,14050
92336,387,310
92336,2307,1610
92336,6596,2650
92336,11440,3000
92336,39341,5690
92336,14386,790
92337,19486,4830
92337,132,170
92337,1134,830
92337,3223,1330
92337,4340,1210
92337,7564,1190
92337,3093,100
92339,985,150
92339,102,40
92339,107,30
92339,776,80
92342,4251,790
92342,136,90
92342,424,160
92342,701,190
92342,2054,300
92342,936,50
92344,14723,2660
92344,112,80
92344,495,340
92344,1234,520
92344,2216,580
92344,6953,980
92344,3713,160
92345,26665,6220
92345,252,250
92345,1548,1140
92345,4243,1620
92345,5065,1350
92345,11312,1690
92345,4245,170
92346,45780,6880
92346,121,150
92346,1220,800
92346,3401,1270
92346,5216,1330
92346,19077,2670
92346,16745,660
92347,98,20
92347,98,20
92354,24909,2830
92354,83,60
92354,335,220
92354,1112,420
92354,2696,540
92354,9187,1140
92354,11496,450
92356,979,250
92356,99,70
92356,198,70
92356,221,50
92356,461,60
92358,425,90
92358,68,40
92358,98,20
92358,259,30
92359,5261,960
92359,181,140
92359,512,190
92359,991,230
92359,2567,350
92359,1010,50
92363,1491,230
92363,38,30
92363,93,30
92363,177,50
92363,1183,120
92365,377,80
92365,77,30
92365,77,20
92365,223,30
92368,159,40
92368,159,40
92371,4431,900
92371,38,40
92371,237,140
92371,542,210
92371,673,170
92371,2079,300
92371,862,40
92372,3001,570
92372,31,20
92372,91,70
92372,301,110
92372,539,140
92372,1433,200
92372,606,30
92373,87239,5770
92373,558,70
92373,631,340
92373,1873,630
92373,4320,920
92373,18261,2270
92373,61596,1540
92374,42974,5180
92374,86,100
92374,775,500
92374,2422,880
92374,4541,1060
92374,15161,2040
92374,19989,600
92376,17925,6060
92376,203,300
92376,2072,1610
92376,4704,1930
92376,4377,1220
92376,5754,950
92376,815,50
92377,13659,3190
92377,117,100
92377,618,450
92377,1905,780
92377,2907,780
92377,6349,990
92377,1763,90
92392,20780,5180
92392,346,230
92392,1340,950
92392,3399,1350
92392,4154,1120
92392,9248,1390
92392,2293,140
92394,9557,2610
92394,97,100
92394,723,550
92394,1851,750
92394,2087,580
92394,3818,580
92394,981,50
92395,17475,3140
92395,178,140
92395,816,570
92395,1963,750
92395,2370,590
92395,6446,890
92395,5702,200
92397,6703,910
92397,117,90
92397,426,130
92397,911,210
92397,2983,390
92397,2266,90
92399,55144,7330
92399,212,140
92399,1207,640
92399,3097,1170
92399,5424,1380
92399,22335,3140
92399,22869,860
92401,135,40
92401,135,40
92404,16283,3750
92404,204,160
92404,1231,970
92404,2448,990
92404,2831,760
92404,5151,760
92404,4418,110
92405,5842,1770
92405,87,90
92405,574,470
92405,1404,570
92405,1221,330
92405,2556,310
92407,29132,6230
92407,248,200
92407,1220,940
92407,3597,1390
92407,5301,1390
92407,14191,2070
92407,4575,240
92408,3402,680
92408,17,30
92408,189,160
92408,426,170
92408,483,120
92408,1117,160
92408,1170,40
92410,4253,1530
92410,219,100
92410,685,540
92410,1201,500
92410,741,220
92410,1407,170
92411,2293,950
92411,38,60
92411,475,370
92411,639,290
92411,472,140
92411,669,90
92501,9704,1860
92501,66,80
92501,461,340
92501,1276,470
92501,1753,400
92501,3505,470
92501,2643,100
92503,58233,9490
92503,452,250
92503,1824,1290
92503,4960,2000
92503,7116,1850
92503,23574,3280
92503,20307,820
92504,37288,5680
92504,283,210
92504,1180,860
92504,3247,1260
92504,4299,1120
92504,12504,1700
92504,15775,530
92505,21037,4390
92505,161,150
92505,1076,690
92505,2755,1100
92505,3672,960
92505,9109,1310
92505,4264,180
92506,98877,8090
92506,169,130
92506,945,610
92506,2990,1060
92506,6118,1400
92506,25569,3290
92506,63086,1600
92507,23201,3740
92507,135,140
92507,798,590
92507,2202,790
92507,3203,750
92507,9197,1180
92507,7666,290
92508,48138,6110
92508,152,120
92508,676,400
92508,2010,750
92508,4294,1070
92508,22148,2970
92508,18858,800
92509,29834,6780
92509,209,230
92509,1600,1250
92509,4216,1730
92509,5406,1400
92509,13237,1930
92509,5166,240
92518,1301,220
92518,109,50
92518,181,50
92518,599,90
92518,412,30
92530,25042,5210
92530,136,160
92530,1138,800
92530,2982,1200
92530,4730,1230
92530,11283,1630
92530,4773,190
92532,21331,3930
92532,80,80
92532,533,370
92532,1911,730
92532,3375,890
92532,11230,1640
92532,4202,220
92536,2115,330
92536,66,50
92536,191,70
92536,304,70
92536,873,120
92536,681,20
92539,1186,260
92539,69,50
92539,176,60
92539,174,50
92539,767,100
92543,6333,1500
92543,126,120
92543,518,390
92543,891,380
92543,905,250
92543,1929,290
92543,1964,70
92544,22852,3770
92544,147,160
92544,1126,700
92544,1971,800
92544,2742,730
92544,7893,1120
92544,8973,260
92545,14845,3410
92545,184,160
92545,828,620
92545,2047,850
92545,2650,740
92545,5925,910
92545,3211,130
92548,1422,320
92548,27,20
92548,99,70
92548,203,80
92548,254,70
92548,839,80
92551,8936,2770
92551,71,100
92551,806,660
92551,1904,840
92551,2109,590
92551,3414,540
92551,632,40
92553,13856,4720
92553,157,240
92553,1650,1300
92553,3323,1450
92553,3150,920
92553,4817,770
92553,759,40
92555,25829,5450
92555,120,140
92555,948,740
92555,2891,1180
92555,4513,1210
92555,12883,1930
92555,4474,250
92557,25719,5860
92557,206,220
92557,1440,1010
92557,3491,1430
92557,4883,1330
92557,11273,1680
92557,4426,190
92561,2004,200
92561,54,30
92561,110,30
92561,170,30
92561,800,80
92561,870,30
92562,91896,9620
92562,422,190
92562,1209,750
92562,3589,1290
92562,6331,1590
92562,32069,4290
92562,48276,1510
92563,61126,9950
92563,378,200
92563,1192,850
92563,4111,1660
92563,7797,2070
92563,30860,4400
92563,16788,770
92567,4044,950
92567,25,40
92567,173,150
92567,453,200
92567,772,220
92567,1861,300
92567,760,40
92570,16015,3570
92570,118,140
92570,942,750
92570,2031,860
92570,2727,720
92570,6656,930
92570,3541,170
92571,15495,4880
92571,134,210
92571,1391,1150
92571,3340,1480
92571,3619,1050
92571,5615,940
92571,1396,50
92582,7299,1900
92582,32,50
92582,390,340
92582,1232,540
92582,1603,460
92582,3151,470
92582,891,40
92583,7040,2010
92583,67,110
92583,537,450
92583,1384,600
92583,1454,400
92583,2956,410
92583,642,40
92584,40892,7530
92584,270,190
92584,1184,770
92584,3422,1380
92584,6790,1740
92584,20746,3040
92584,8480,410
92585,14014,2960
92585,64,70
92585,489,370
92585,1494,620
92585,2491,690
92585,7065,1070
92585,2411,140
92586,8316,2020
92586,114,110
92586,472,360
92586,1486,530
92586,1583,420
92586,3604,540
92586,1057,60
92587,22002,2590
92587,72,70
92587,378,230
92587,1036,380
92587,1897,470
92587,8786,1110
92587,9833,330
92590,14442,520
92590,144,60
92590,175,50
92590,327,70
92590,1470,170
92590,12326,170
92591,47067,5770
92591,254,120
92591,824,480
92591,2057,780
92591,4178,1050
92591,19034,2530
92591,20720,810
92592,118874,13040
92592,462,250
92592,1673,870
92592,4346,1600
92592,8471,2190
92592,44550,5990
92592,59372,2140
92595,24745,4450
92595,190,140
92595,884,540
92595,2142,840
92595,3780,980
92595,11919,1680
92595,5830,270
92596,27975,4290
92596,147,90
92596,477,360
92596,1747,690
92596,3379,940
92596,12791,1890
92596,9434,320
92602,89205,4820
92602,197,60
92602,713,200
92602,1197,360
92602,2923,560
92602,18016,1950
92602,66159,1690
92603,208393,4430
92603,204,60
92603,343,140
92603,951,240
92603,2380,420
92603,13780,1450
92603,190735,2120
92604,56045,4720
92604,149,90
92604,543,240
92604,1323,440
92604,3436,730
92604,17625,2070
92604,32969,1150
92606,53510,3400
92606,160,50
92606,288,160
92606,1145,350
92606,2419,480
92606,13488,1450
92606,36010,910
92610,34182,2800
92610,67,30
92610,219,120
92610,705,230
92610,1680,350
92610,10981,1300
92610,20530,770
92612,81733,4170
92612,150,90
92612,492,230
92612,1544,430
92612,3318,620
92612,16551,1680
92612,59678,1120
92614,76665,4530
92614,210,100
92614,512,210
92614,1679,480
92614,3542,690
92614,17065,1910
92614,53657,1140
92617,16959,1060
92617,47,30
92617,134,40
92617,578,120
92617,3727,420
92617,12473,450
92618,144437,7690
92618,326,120
92618,695,300
92618,2354,650
92618,5347,950
92618,31409,3210
92618,104306,2460
92620,156778,10160
92620,376,150
92620,917,410
92620,2573,750
92620,5694,1140
92620,38002,4150
92620,109216,3560
92624,19489,1290
92624,31,30
92624,125,60
92624,573,160
92624,879,180
92624,4291,500
92624,13590,360
92625,254494,3740
92625,295,70
92625,805,120
92625,920,190
92625,1949,300
92625,10270,1020
92625,240255,2040
92626,112979,7600
92626,567,160
92626,1121,550
92626,3545,990
92626,6219,1230
92626,26740,3180
92626,74787,1490
92627,86969,7320
92627,375,170
92627,1232,650
92627,3270,970
92627,6609,1260
92627,25766,2750
92627,49717,1520
92629,131976,5550
92629,522,140
92629,800,290
92629,2002,510
92629,3587,700
92629,18218,2110
92629,106847,1800
92630,115301,11520
92630,348,220
