Zip Code,Total times 1k,num returns
90044,1078266000,36780
90044,286265000,20460
90044,387011000,11040
90044,204122000,3350
90044,103942000,1220
90044,84426000,670
90044,12500000,40
90045,2047195000,18560
90045,54586000,4490
90045,121913000,3210
90045,163044000,2580
90045,172945000,1960
90045,564125000,3960
90045,970582000,2360
90046,2747289000,27060
90046,98179000,7730
90046,238800000,6210
90046,271726000,4330
90046,228528000,2610
90046,526765000,3780
90046,1383291000,2400
90047,946407000,23780
90047,141088000,10360
90047,250610000,6920
90047,213703000,3470
90047,139192000,1620
90047,167105000,1290
90047,34709000,120
90048,1704586000,12600
90048,37857000,3020
90048,89930000,2330
90048,124068000,1970
90048,117218000,1330
90048,314929000,2210
90048,1020584000,1740
90049,6518066000,18300
90049,40035000,3530
90049,88430000,2270
90049,141804000,2230
90049,142979000,1610
90049,500061000,3420
90049,5604757000,5240
90056,459327000,4580
90056,15305000,1210
90056,34441000,910
90056,38793000,620
90056,42571000,480
90056,121170000,860
90056,207047000,500
90057,464210000,15540
90057,118162000,8800
90057,164243000,4660
90057,77071000,1270
90057,37376000,430
90057,43337000,330
90057,24021000,50
90058,150847000,1480
90058,12267000,870
90058,12534000,370
90058,5547000,90
90058,3800000,40
90058,5053000,40
90058,111646000,70
90059,491201000,16460
90059,124636000,8830
90059,180142000,5100
90059,101468000,1680
90059,47905000,560
90059,37050000,290
90061,363645000,11780
90061,88518000,6210
90061,130980000,3720
90061,71750000,1180
90061,37790000,450
90061,34607000,220
90062,475166000,14470
90062,99098000,7280
90062,161852000,4520
90062,98438000,1610
90062,54033000,630
90062,51106000,400
90062,10639000,30
90063,720152000,21330
90063,148379000,10400
90063,250855000,7060
90063,146883000,2410
90063,75856000,890
90063,66579000,530
90063,31600000,40
90064,4002209000,14760
90064,42965000,3590
90064,94271000,2440
90064,118029000,1860
90064,112042000,1260
90064,382700000,2620
90064,3252202000,2990
90065,1283822000,21420
90065,110600000,8140
90065,200924000,5500
90065,164709000,2650
90065,142115000,1620
90065,360247000,2580
90065,305227000,930
90066,2683991000,28220
90066,100427000,7690
90066,234960000,6190
90066,264549000,4210
90066,243802000,2780
90066,633475000,4490
90066,1206778000,2860
90067,2814965000,3360
90067,6434000,590
90067,11268000,290
90067,17416000,270
90067,18324000,200
90067,84595000,570
90067,2676928000,1440
90068,1554347000,11640
90068,38936000,3150
90068,86841000,2270
90068,97092000,1530
90068,97430000,1100
90068,268959000,1870
90068,965089000,1720
90069,2228729000,13450
90069,39920000,3120
90069,94584000,2430
90069,128910000,2030
90069,124412000,1410
90069,358764000,2550
90069,1482139000,1910
90077,1994436000,4010
90077,9108000,830
90077,14871000,380
90077,20268000,320
90077,24728000,280
90077,99289000,660
90077,1826172000,1540
90094,770510000,4740
90094,8236000,680
90094,22985000,590
90094,39626000,620
90094,48046000,540
90094,178441000,1240
90094,473176000,1070
90201,1232064000,39160
90201,287400000,19770
90201,465418000,13150
90201,252541000,4180
90201,115130000,1350
90201,82644000,660
90201,28931000,50
90210,5827835000,9490
90210,23109000,2100
90210,42672000,1110
90210,47553000,740
90210,57986000,650
90210,203384000,1360
90210,5453131000,3530
90211,1539047000,5360
90211,17140000,1500
90211,32018000,840
90211,38938000,610
90211,38529000,440
90211,122815000,850
90211,1289607000,1120
90212,2507078000,7440
90212,22241000,1940
90212,42838000,1100
90212,55626000,870
90212,59129000,660
90212,180527000,1230
90212,2146717000,1640
90220,789884000,21890
90220,146544000,10250
90220,251454000,7030
90220,167757000,2770
90220,95986000,1120
90220,84289000,670
90220,43854000,50
90221,708963000,22020
90221,157517000,10830
90221,262133000,7410
90221,145939000,2410
90221,76225000,890
90221,55743000,450
90221,11406000,30
90222,420119000,12920
90222,90551000,6270
90222,149591000,4250
90222,94351000,1560
90222,47141000,550
90222,38485000,290
90230,1520444000,16040
90230,58874000,4610
90230,114233000,3040
90230,141546000,2230
90230,146299000,1650
90230,438171000,3110
90230,621321000,1400
90232,829907000,8680
90232,29415000,2300
90232,66563000,1770
90232,81185000,1290
90232,80719000,920
90232,208029000,1470
90232,363996000,930
90240,814272000,12070
90240,55001000,4150
90240,104867000,2850
90240,103498000,1660
90240,102892000,1180
90240,237032000,1720
90240,210982000,510
90241,1117218000,20730
90241,106334000,7810
90241,204305000,5560
90241,180659000,2940
90241,154784000,1780
90241,296343000,2180
90241,174793000,460
90242,926031000,19440
90242,103446000,7520
90242,199559000,5490
90242,174332000,2830
90242,140049000,1610
90242,238142000,1800
90242,70503000,190
90245,1110620000,9530
90245,25579000,2120
90245,57295000,1490
90245,85438000,1350
90245,101334000,1150
90245,310377000,2170
90245,530597000,1250
90247,990407000,23020
90247,129048000,9290
90247,253956000,6980
90247,203459000,3320
90247,144498000,1670
90247,207233000,1580
90247,52213000,180
90248,346580000,5570
90248,26550000,1980
90248,54735000,1470
90248,52326000,840
90248,43197000,500
90248,83713000,620
90248,86059000,160
90249,648641000,13410
90249,70347000,5220
90249,131674000,3610
90249,119562000,1940
90249,96705000,1110
90249,180341000,1360
90249,50012000,170
90250,2079428000,43800
90250,239779000,17440
90250,492602000,13570
90250,353076000,5760
90250,247540000,2850
90250,459464000,3380
90250,286967000,800
90254,2135282000,10520
