"ZIP
code [1]",State and local income taxes,
,Number of returns,Amount
91367,"8,200","151,834"
91367,210,620
91367,500,1188
91367,1000,3283
91367,1280,6371
91367,3120,27471
91367,2090,112901
,,
91377,"3,310","60,224"
91377,30,49
91377,110,240
91377,260,909
91377,370,1825
91377,1270,11774
91377,1270,45427
,,
91381,"4,270","82,472"
91381,70,152
91381,160,342
91381,320,1070
91381,490,2144
91381,1720,14391
91381,1510,64373
,,
91384,"4,480","35,977"
91384,60,65
91384,270,482
91384,560,1564
91384,790,3291
91384,2190,16887
91384,610,13688
,,
91387,"6,980","69,103"
91387,150,221
91387,510,921
91387,1040,3012
91387,1150,4975
91387,2960,23575
91387,1170,36399
,,
91390,"4,260","43,145"
91390,60,72
91390,190,371
91390,390,1193
91390,610,2686
91390,2090,16925
91390,920,21898
,,
91401,"4,440","54,380"
91401,160,324
91401,500,878
91401,700,2080
91401,670,3556
91401,1540,13433
91401,870,34109
,,
91402,"4,130","16,208"
91402,190,162
91402,1010,1550
91402,1080,2589
91402,810,3161
91402,940,6756
91402,100,1990
,,
91403,"5,640","172,028"
91403,160,525
91403,350,870
91403,590,2171
91403,710,4018
91403,1820,17504
91403,2010,146940
,,
91405,"3,490","18,669"
91405,170,196
91405,720,1031
91405,730,1964
91405,620,2859
91405,1070,8641
91405,180,3978
,,
91406,"5,540","41,136"
91406,210,323
91406,780,1219
91406,1160,3411
91406,980,4405
91406,1930,15818
91406,480,15960
,,
91411,"2,290","21,754"
91411,80,104
91411,300,468
91411,360,1117
91411,390,1941
91411,770,6769
91411,390,11355
,,
91423,"6,550","150,259"
91423,170,632
91423,500,1275
91423,680,2744
91423,860,5250
91423,2180,20897
91423,2160,119461
,,
91436,"5,330","457,549"
91436,120,480
91436,150,730
91436,230,1145
91436,340,2090
91436,1340,14572
91436,3150,438532
,,
91501,"2,940","32,521"
91501,70,177
91501,230,500
91501,410,1302
91501,500,2411
91501,1150,9995
91501,580,18136
,,
91502,"1,050","11,726"
91502,40,29
91502,140,225
91502,200,605
91502,190,961
91502,380,3483
91502,100,6423
,,
91504,"4,160","44,204"
91504,90,184
91504,330,552
91504,560,1814
91504,690,3278
91504,1680,14268
91504,810,24108
,,
91505,"6,090","75,833"
91505,150,269
91505,460,910
91505,820,2662
91505,1010,5011
91505,2610,23184
91505,1040,43797
,,
91506,"3,600","36,867"
91506,90,263
91506,280,493
91506,460,1474
91506,570,2797
91506,1540,13623
91506,660,18217
,,
91601,"4,040","31,830"
91601,210,271
91601,640,1347
91601,730,2486
91601,740,3964
91601,1280,12016
91601,440,11746
,,
91602,"4,060","71,125"
91602,150,302
91602,400,739
91602,520,1884
91602,670,3806
91602,1400,13585
91602,920,50809
,,
91604,"7,040","162,142"
91604,230,579
91604,430,1002
91604,660,2576
91604,870,4842
91604,2310,22760
91604,2540,130383
,,
91605,"3,830","19,194"
91605,190,213
91605,820,1114
91605,910,2374
91605,720,2987
91605,1000,7542
91605,190,4964
,,
91606,"3,500","19,027"
91606,160,115
91606,660,962
91606,770,2119
91606,640,2825
91606,1060,8386
91606,210,4620
,,
91607,"4,660","65,654"
91607,220,349
91607,500,955
91607,620,2101
91607,700,3686
91607,1600,15243
91607,1020,43320
,,
91701,"6,940","53,802"
91701,110,151
91701,470,842
91701,980,3183
91701,1260,5392
91701,3290,24849
91701,830,19385
,,
91702,"5,930","32,674"
91702,180,120
91702,980,1342
91702,1370,3693
91702,1260,5346
91702,1760,13279
91702,380,8894
,,
91706,"5,420","20,569"
91706,260,196
91706,1410,1823
91706,1510,3543
91706,1110,4324
91706,1030,7175
91706,100,3508
,,
91708,"1,710","12,290"
91708,30,23
91708,140,243
91708,270,707
91708,310,1313
91708,780,6028
91708,180,3976
,,
91709,"14,000","163,400"
91709,260,551
91709,930,1607
91709,1670,4798
91709,2220,9520
91709,6400,50827
91709,2520,96097
,,
91710,"10,130","66,857"
91710,250,466
91710,1140,1807
91710,1880,4811
91710,2040,8445
91710,3960,28882
91710,860,22446
,,
91711,"6,580","100,943"
91711,110,315
91711,320,593
91711,630,1937
91711,910,4088
91711,2830,23231
91711,1780,70779
,,
91722,"4,630","21,555"
91722,140,105
91722,660,917
91722,1060,2762
91722,1040,4138
91722,1570,10799
91722,160,2834
,,
91723,"2,200","12,696"
91723,50,40
91723,290,410
91723,430,1226
91723,440,1900
91723,870,6353
91723,120,2767
,,
91724,"4,080","33,003"
91724,100,153
91724,360,617
91724,600,1798
91724,770,3393
91724,1760,13458
91724,490,13584
,,
91730,"8,420","53,595"
91730,260,327
91730,1070,1641
91730,1690,4570
91730,1920,8404
91730,3000,22622
91730,480,16031
,,
91731,"1,450","10,304"
91731,80,58
91731,350,426
91731,390,990
91731,270,1101
91731,310,2414
91731,50,5315
,,
91732,"3,320","14,027"
91732,150,166
91732,890,1113
91732,820,2069
91732,620,2553
91732,730,5279
91732,110,2847
,,
91733,"1,960","8,956"
91733,110,117
91733,510,609
91733,500,1360
91733,370,1562
91733,410,2965
91733,60,2343
,,
91737,"4,430","53,084"
91737,100,119
91737,270,491
91737,500,1419
91737,660,2938
91737,1920,15166
91737,980,32951
,,
91739,"6,850","104,010"
91739,110,182
91739,410,643
91739,730,2017
91739,980,4280
91739,3120,24148
91739,1500,72740
,,
91740,"3,860","27,007"
91740,70,102
91740,360,559
91740,620,1689
91740,790,3315
91740,1680,12555
91740,340,8787
,,
91741,"5,060","75,988"
91741,90,185
91741,250,476
91741,530,1668
91741,720,3096
91741,2300,18566
91741,1170,51997
,,
91744,"6,310","23,852"
91744,290,218
91744,1460,1759
91744,1760,4263
91744,1330,4922
91744,1370,9103
91744,100,3587
,,
91745,"7,320","71,390"
91745,220,295
91745,800,1385
91745,1220,3499
91745,1250,5569
91745,2870,22759
91745,960,37883
,,
91746,"2,470","22,537"
91746,100,85
91746,560,761
91746,670,1691
91746,530,2076
91746,540,3840
91746,70,14084
,,
91748,"4,680","48,975"
91748,140,269
91748,570,949
91748,790,2212
91748,810,3553
91748,1670,12986
91748,700,29006
,,
91750,"5,920","69,959"
91750,90,187
91750,380,900
91750,710,2038
91750,940,4022
91750,2680,20702
91750,1120,42110
,,
91752,"4,170","22,969"
91752,120,193
91752,470,736
91752,840,2183
91752,840,3461
91752,1640,11761
91752,260,4635
,,
91754,"3,960","40,774"
91754,90,149
91754,410,700
91754,630,2126
91754,670,3217
91754,1570,13503
91754,590,21079
,,
91755,"2,590","18,406"
91755,70,102
91755,310,480
91755,460,1357
91755,480,2209
91755,990,8191
91755,280,6067
,,
91761,"6,780","39,936"
91761,170,163
91761,960,1347
91761,1560,4158
91761,1600,6259
91761,2210,15244
91761,280,12765
,,
91762,"5,320","25,972"
91762,180,203
91762,1010,1426
91762,1380,3447
91762,1120,4454
91762,1420,10102
91762,210,6340
,,
91763,"3,170","15,436"
91763,110,104
91763,620,790
91763,820,2056
91763,690,2555
91763,830,5764
91763,100,4167
,,
91764,"4,200","17,629"
91764,170,119
91764,890,1179
91764,1160,2912
91764,950,3803
91764,930,6191
91764,100,3425
,,
91765,"8,010","94,907"
91765,170,468
91765,650,1288
91765,1060,3240
91765,1300,5895
91765,3350,26497
91765,1480,57519
,,
91766,"5,220","26,719"
91766,200,165
91766,960,1196
91766,1260,3123
91766,1000,3902
91766,1470,10713
91766,330,7620
,,
91767,"4,500","20,158"
91767,150,122
91767,820,1034
91767,1180,2895
91767,990,3908
91767,1240,8784
91767,120,3415
,,
91768,"2,400","11,314"
91768,110,89
91768,520,634
91768,600,1556
91768,500,2000
91768,570,4045
91768,100,2990
,,
91770,"4,310","26,621"
91770,150,273
91770,790,1227
91770,990,2810
91770,860,3839
91770,1250,9931
91770,270,8541
,,
91773,"6,030","61,642"
91773,110,209
91773,430,740
91773,780,2465
91773,1090,4769
91773,2650,20893
91773,970,32566
,,
91775,"3,810","43,818"
91775,90,273
91775,240,397
91775,420,1344
91775,540,2392
91775,1630,13699
91775,890,25713
,,
91776,"2,930","19,240"
91776,100,127
91776,480,805
91776,590,1660
91776,540,2576
91776,980,8134
91776,240,5938
,,
91780,"4,450","38,800"
91780,90,144
91780,400,674
91780,700,1974
91780,730,3194
91780,1890,15015
91780,640,17799
,,
91784,"5,800","75,809"
91784,90,166
91784,290,641
91784,520,1641
91784,770,3616
91784,2660,21573
91784,1470,48172
,,
91786,"5,400","33,667"
91786,150,245
91786,690,1130
91786,1010,2657
91786,1160,4864
91786,1990,15029
91786,400,9742
,,
91789,"7,110","99,329"
91789,180,400
91789,510,1203
91789,880,2530
91789,1030,4642
91789,3010,24738
91789,1500,65816
,,
91790,"5,410","28,548"
91790,160,242
91790,760,1051
91790,1150,3115
91790,1090,4623
91790,2020,14370
91790,230,5147
,,
91791,"4,960","49,586"
91791,120,219
91791,510,866
91791,760,2509
91791,870,3946
91791,1970,15256
91791,730,26790
,,
91792,"3,510","17,814"
91792,110,154
91792,470,659
91792,740,1908
91792,750,3017
91792,1280,9181
91792,160,2895
,,
91801,"5,120","42,371"
91801,120,219
91801,660,1159
91801,950,2757
91801,990,4897
91801,1850,15845
91801,550,17494
,,
91803,"3,120","21,389"
91803,90,82
91803,400,599
91803,550,1618
91803,600,3009
91803,1200,9801
91803,280,6280
,,
91901,"2,790","32,601"
91901,50,89
91901,120,237
91901,300,849
91901,410,1755
91901,1300,10124
91901,610,19547
,,
91902,"3,070","30,869"
91902,50,90
91902,170,266
91902,300,894
91902,460,1926
91902,1450,10627
91902,640,17066
,,
91905,110,517
91905,**,**
91905,**,**
91905,30,67
91905,30,100
91905,50,350
91905,**,**
,,
91906,320,"1,538"
91906,**,**
91906,50,79
91906,70,167
91906,80,276
91906,120,1016
91906,**,**
,,
91910,"7,810","53,616"
91910,160,171
91910,810,1321
91910,1390,3662
91910,1580,6385
91910,3200,22766
91910,670,19311
,,
91911,"6,590","32,058"
91911,180,177
91911,930,1405
91911,1410,3544
91911,1460,5324
91911,2340,15663
91911,270,5945
,,
91913,"7,460","52,609"
91913,90,115
91913,440,660
91913,950,2355
91913,1390,5484
91913,3800,26828
91913,790,17167
,,
91914,"3,220","34,915"
91914,50,57
91914,140,280
91914,250,750
91914,430,1707
91914,1580,11921
91914,770,20200
,,
91915,"4,920","34,464"
91915,50,54
91915,290,474
91915,570,1462
91915,900,3448
91915,2550,18256
91915,560,10770
,,
91916,320,"3,307"
91916,**,**
91916,20,31
91916,60,165
91916,70,304
91916,130,1040
91916,40,1767
,,
91917,70,321
91917,**,**
91917,**,**
91917,40,128
91917,**,**
91917,30,193
91917,**,**
,,
91932,"1,700","9,550"
91932,60,56
91932,250,371
91932,350,901
91932,330,1346
91932,590,4379
91932,120,2497
,,
91934,40,185
91934,0,0
91934,20,42
91934,**,**
91934,20,143
91934,**,**
91934,0,0
,,
91935,"1,600","21,895"
91935,40,41
91935,90,238
91935,150,457
91935,220,834
91935,700,5679
91935,400,14646
,,
91941,"5,440","57,386"
91941,90,301
91941,330,840
91941,680,2067
91941,850,3707
91941,2380,18610
91941,1110,31861
,,
91942,"5,240","35,078"
91942,110,231
91942,460,790
91942,960,2766
91942,1150,5100
91942,2210,16907
91942,350,9284
,,
91945,"2,800","12,589"
91945,80,89
91945,420,582
91945,620,1607
91945,670,2644
91945,930,6141
91945,80,1526
,,
91950,"2,930","11,343"
91950,110,93
91950,630,919
91950,820,1959
91950,610,2289
91950,700,4411
91950,60,1672
,,
91962,360,"2,616"
91962,**,**
91962,30,31
91962,40,122
91962,70,261
91962,180,1263
91962,40,939
,,
91963,50,237
91963,0,0
91963,30,47
91963,**,**
91963,20,190
91963,**,**
91963,**,**
,,
91977,"6,300","32,057"
91977,150,186
91977,820,1113
91977,1370,3441
91977,1380,5287
91977,2290,15526
91977,290,6504
,,
91978,"1,190","7,581"
91978,20,24
91978,120,213
91978,210,567
91978,220,884
91978,510,3632
91978,110,2261
,,
91980,40,136
91980,**,**
91980,**,**
91980,40,136
91980,**,**
91980,**,**
91980,**,**
,,
92003,910,"14,089"
92003,30,49
92003,80,169
92003,130,401
92003,110,506
92003,330,2693
92003,230,10271
,,
92004,270,"2,082"
92004,**,**
92004,40,42
92004,50,181
92004,50,204
92004,90,647
92004,40,1008
,,
92007,"2,500","54,376"
92007,50,95
92007,140,497
92007,220,854
92007,300,1472
92007,910,8507
92007,880,42951
,,
92008,"4,840","74,901"
92008,100,177
92008,290,836
92008,460,1527
92008,690,3469
92008,1970,17418
92008,1330,51474
,,
92009,"10,520","191,270"
92009,170,447
92009,380,1018
92009,780,2947
92009,1070,5443
92009,4000,35070
92009,4120,146345
,,
92010,"3,340","36,916"
92010,50,134
92010,160,287
92010,320,1152
92010,440,1830
92010,1530,12950
92010,840,20563
,,
92011,"5,220","85,233"
92011,100,311
92011,200,546
92011,370,1313
92011,550,2837
92011,2090,18523
92011,1910,61703
,,
92014,"3,920","162,780"
92014,80,450
92014,120,669
92014,220,1014
92014,330,2023
92014,1160,11843
92014,2010,146781
,,
92019,"6,250","63,578"
92019,140,341
92019,460,969
92019,900,2593
92019,1080,4559
92019,2630,19734
92019,1040,35382
,,
92020,"5,530","48,867"
92020,140,201
92020,560,1009
92020,820,2130
92020,970,4046
92020,2250,17162
92020,790,24319
,,
92021,"6,310","43,187"
92021,150,176
92021,730,1144
92021,1190,3189
92021,1200,4808
92021,2480,17466
92021,560,16404
,,
92024,"10,590","250,043"
92024,240,757
92024,440,1351
92024,860,3166
92024,1140,5715
92024,3900,36477
92024,4010,202577
,,
92025,"4,530","44,234"
92025,110,145
92025,420,833
92025,690,1960
92025,690,2926
92025,1780,14280
92025,840,24090
,,
92026,"6,720","53,195"
92026,150,218
92026,540,760
92026,1050,2741
92026,1230,5076
92026,2950,22273
92026,800,22127
,,
92027,"5,800","40,780"
92027,160,139
92027,660,908
92027,1040,2646
92027,1120,4508
92027,2220,16657
92027,600,15922
,,
92028,"6,300","60,733"
92028,150,359
92028,510,1001
92028,860,2489
92028,1020,4040
92028,2690,19874
92028,1070,32970
,,
92029,"3,620","58,109"
92029,70,294
92029,200,462
92029,340,1090
92029,510,2465
92029,1580,12524
92029,920,41274
,,
92036,430,"3,509"
92036,**,**
92036,50,84
92036,90,221
92036,80,295
92036,160,1112
92036,50,1797
,,
92037,"8,960","392,653"
92037,180,886
92037,300,1270
92037,580,2486
92037,780,4357
92037,2700,26874
92037,4420,356780
,,
92040,"5,680","40,041"
92040,110,218
92040,470,880
92040,890,2393
92040,1100,4402
92040,2600,18951
92040,510,13197
,,
92054,"4,040","33,004"
92054,130,261
92054,470,1080
92054,670,2083
92054,700,3254
92054,1540,12326
92054,530,14000
,,
92056,"7,790","55,536"
92056,180,281
92056,690,1201
92056,1250,3518
92056,1480,6004
92056,3330,25877
92056,860,18655
,,
92057,"7,530","49,359"
92057,170,179
92057,810,1212
92057,1250,3215
92057,1390,5404
92057,3110,23155
92057,800,16194
,,
92058,"2,270","12,813"
92058,80,117
92058,300,662
92058,440,1106
92058,460,1829
92058,850,6190
92058,140,2909
,,
92059,120,"1,351"
92059,0,0
92059,20,50
92059,**,**
92059,30,265
92059,40,398
92059,30,638
,,
92061,270,"5,529"
92061,20,34
92061,**,**
92061,40,103
92061,40,182
92061,100,800
92061,70,4410
,,
92064,"9,230","156,297"
92064,120,278
92064,390,689
92064,780,2760
92064,1110,4836
92064,4030,34401
92064,2800,113333
,,
92065,"6,010","50,697"
92065,100,193
92065,380,761
92065,740,2062
92065,1090,4456
92065,2860,21513
92065,840,21712
,,
92066,40,223
92066,0,0
92066,**,**
92066,40,223
92066,**,**
92066,**,**
92066,**,**
,,
92069,"5,600","45,460"
92069,110,98
92069,440,750
92069,740,1966
92069,980,4079
92069,2590,19684
92069,740,18883
,,
92070,100,803
92070,**,**
92070,**,**
92070,50,145
92070,**,**
92070,50,658
92070,**,**
,,
92071,"8,470","56,083"
92071,150,285
92071,660,1067
92071,1400,3874
92071,1710,6899
92071,3870,28728
92071,680,15230
,,
92075,"3,070","95,172"
92075,70,329
92075,130,436
92075,190,830
92075,310,1742
92075,1040,10251
92075,1330,81584
,,
92078,"7,770","91,965"
92078,120,375
92078,420,931
92078,810,2425
92078,1030,4594
92078,3480,29154
92078,1910,54486
,,
92081,"4,360","38,438"
92081,100,249
92081,340,701
92081,580,1746
92081,850,3681
92081,1910,15466
92081,580,16595
,,
92082,"2,900","28,588"
92082,70,117
92082,180,348
92082,350,1057
92082,450,2015
92082,1260,9690
92082,590,15361
,,
92083,"2,970","14,820"
92083,100,103
92083,470,630
92083,680,1741
92083,620,2483
92083,970,7142
92083,130,2721
,,
92084,"4,990","47,626"
92084,140,236
92084,490,1052
92084,790,2146
92084,800,3309
92084,2040,16014
92084,730,24869
,,
92086,90,415
92086,**,**
92086,**,**
92086,50,114
92086,**,**
92086,40,301
92086,**,**
,,
92091,330,"23,585"
92091,30,89
92091,**,**
92091,20,71
92091,20,158
92091,90,924
92091,170,22343
,,
92101,"7,360","124,136"
92101,140,611
92101,410,1101
92101,810,3157
92101,1240,7533
92101,3060,31010
92101,1700,80724
,,
92102,"2,610","16,713"
92102,90,130
92102,470,663
92102,580,1665
92102,510,2470
92102,730,6200
92102,230,5585
,,
92103,"6,420","105,761"
92103,150,313
92103,440,1278
92103,710,2622
92103,1070,6254
92103,2340,22409
92103,1710,72885
,,
92104,"5,600","61,553"
92104,160,284
92104,550,977
92104,930,2961
92104,1120,6106
92104,2040,18517
92104,800,32708
,,
92105,"3,060","12,623"
92105,150,114
92105,630,859
92105,820,2136
92105,660,3016
92105,730,5266
92105,70,1232
,,
92106,"3,840","77,619"
92106,70,216
92106,170,441
92106,310,1178
92106,420,2170
92106,1440,12480
92106,1430,61134
,,
92107,"4,450","68,513"
92107,80,225
92107,320,648
92107,520,1724
92107,730,4072
92107,1740,15896
92107,1060,45948
,,
92108,"3,710","40,588"
92108,80,96
92108,340,739
92108,600,1967
92108,780,4327
92108,1440,13288
92108,470,20171
,,
92109,"7,060","102,249"
92109,130,454
92109,540,1100
92109,900,3457
92109,1310,7987
92109,2570,24266
92109,1610,64985
,,
92110,"3,770","46,763"
92110,90,118
92110,310,590
92110,600,1924
92110,640,3418
92110,1410,12450
92110,720,28263
,,
92111,"5,430","47,276"
92111,150,390
92111,530,1065
92111,910,2658
92111,1060,4976
92111,2230,18672
92111,550,19515
,,
92113,"1,520","4,815"
92113,90,141
92113,420,569
92113,480,1109
92113,280,1077
92113,230,1491
92113,20,428
,,
92114,"6,190","22,258"
92114,230,192
92114,1160,1497
92114,1630,3919
92114,1380,4803
92114,1660,9997
92114,130,1850
,,
92115,"5,280","46,696"
92115,140,205
92115,600,888
92115,950,2711
92115,1050,4849
92115,1980,16358
92115,560,21685
,,
92116,"4,930","49,292"
92116,120,221
92116,440,811
92116,760,2625
92116,920,5072
92116,1880,17217
92116,810,23346
,,
92117,"7,930","72,292"
92117,180,354
92117,640,1169
92117,1160,3285
92117,1420,6712
92117,3380,27916
92117,1150,32856
,,
92118,"2,920","63,943"
92118,40,102
92118,110,384
92118,200,676
92118,270,1325
92118,1020,9211
92118,1280,52245
,,
92119,"4,350","35,323"
92119,70,83
92119,290,555
92119,580,1692
92119,730,3350
92119,2070,16614
92119,610,13029
,,
92120,"5,330","56,873"
92120,80,198
92120,310,746
92120,620,1990
92120,800,3561
92120,2440,19653
92120,1080,30725
,,
92121,"1,120","33,022"
92121,**,**
92121,50,156
92121,80,264
92121,120,659
92121,430,4104
92121,440,27839
,,
92122,"6,560","85,744"
92122,110,329
92122,320,750
92122,660,2385
92122,930,4944
92122,2780,25566
92122,1760,51770
,,
92123,"4,120","37,551"
92123,110,156
92123,350,604
92123,590,1713
92123,810,3819
92123,1790,15052
92123,470,16207
,,
92124,"4,370","44,818"
92124,70,162
92124,240,437
92124,470,1450
92124,700,3471
92124,2020,16805
92124,870,22493
,,
92126,"10,400","79,622"
92126,190,293
92126,860,1422
92126,1630,4674
92126,2020,9144
92126,4560,37078
92126,1140,27011
,,
92127,"10,040","206,914"
92127,110,313
92127,290,577
92127,590,1991
92127,840,4243
92127,3790,33476
92127,4420,166314
,,
92128,"10,460","115,519"
92128,180,338
92128,470,966
92128,1090,3367
92128,1510,7045
92128,4740,40150
92128,2470,63653
,,
92129,"10,500","125,665"
92129,140,237
92129,410,762
92129,810,2487
92129,1210,5576
92129,4860,41242
92129,3070,75361
,,
92130,"13,200","389,713"
92130,190,808
92130,340,1081
92130,600,2856
92130,990,5391
92130,4240,42024
92130,6840,337553
,,
92131,"8,760","153,446"
92131,100,242
92131,250,629
92131,510,1707
92131,810,4147
92131,3660,31813
92131,3430,114908
,,
92139,"3,550","14,386"
92139,100,76
92139,550,706
92139,850,2088
92139,830,3095
92139,1140,7134
92139,80,1287
,,
92154,"6,700","29,746"
92154,210,277
92154,960,1271
92154,1560,3668
92154,1480,5335
92154,2230,14448
92154,260,4747
,,
92173,"1,450","5,646"
92173,70,67
92173,300,374
92173,400,935
92173,310,1102
92173,330,2076
92173,40,1092
,,
92201,"4,050","22,937"
92201,180,200
92201,760,1019
92201,870,2016
92201,740,2797
92201,1210,8380
92201,290,8525
,,
92203,"4,450","30,670"
92203,110,215
92203,430,780
92203,740,1866
92203,820,3261
92203,1920,13298
92203,430,11250
,,
92210,930,"34,057"
92210,30,96
92210,40,118
92210,60,263
92210,110,608
92210,300,2552
92210,390,30420
,,
92211,"4,230","40,034"
92211,130,438
92211,340,760
92211,600,1896
92211,720,3097
92211,1690,13378
92211,750,20465
,,
92220,"2,440","12,763"
92220,100,126
92220,440,595
92220,570,1712
92220,500,1960
92220,640,4418
92220,190,3952
,,
92223,"8,230","47,366"
92223,190,264
92223,740,1120
92223,1500,3773
92223,1850,7031
92223,3440,23345
92223,510,11833
,,
92225,"1,100","5,265"
92225,50,40
92225,210,245
92225,210,566
92225,240,954
92225,340,2264
92225,50,1196
,,
92227,"1,700","17,944"
92227,40,82
92227,170,238
92227,280,798
92227,350,1474
92227,640,4927
92227,220,10425
,,
92230,90,346
92230,**,**
92230,30,30
92230,20,44
92230,40,272
92230,**,**
92230,**,**
,,
92231,"1,580","7,383"
92231,50,19
92231,260,318
92231,360,788
92231,340,1254
92231,490,3160
92231,80,1844
,,
92233,130,"1,004"
92233,**,**
92233,30,58
92233,**,**
92233,30,152
92233,70,794
92233,**,**
,,
92234,"4,070","21,741"
92234,220,234
92234,770,1066
92234,850,2295
92234,770,3159
92234,1200,9093
92234,260,5894
,,
92236,"1,900","4,644"
92236,110,65
92236,680,712
92236,560,1175
92236,310,976
92236,240,1716
92236,**,**
,,
92240,"1,860","6,824"
92240,130,96
92240,510,801
92240,500,1231
92240,300,1228
92240,370,2683
92240,50,785
,,
92241,340,"1,725"
92241,**,**
92241,90,224
92241,80,193
92241,60,272
92241,110,1036
92241,**,**
,,
92242,30,149
92242,**,**
92242,**,**
92242,30,149
92242,**,**
92242,**,**
92242,**,**
,,
92243,"2,850","24,623"
92243,80,116
92243,280,353
92243,450,1201
92243,610,2479
92243,1120,8313
92243,310,12161
,,
92249,450,"1,695"
92249,**,**
92249,80,79
92249,100,233
92249,130,468
92249,140,915
92249,**,**
,,
92250,470,"4,924"
92250,**,**
92250,50,76
92250,90,230
92250,80,297
92250,190,1444
92250,60,2877
,,
92251,"2,510","14,104"
92251,50,49
92251,210,299
92251,430,1093
92251,610,2436
92251,1090,7774
92251,120,2453
,,
92252,560,"3,034"
92252,30,21
92252,90,162
92252,120,327
92252,110,475
92252,190,1479
92252,20,570
,,
92253,"5,620","68,946"
92253,190,943
92253,500,1064
92253,750,2207
92253,860,3482
92253,2140,16979
92253,1180,44271
,,
92254,160,336
92254,**,**
92254,70,72
92254,50,106
92254,40,158
92254,**,**
92254,**,**
,,
92256,280,"1,579"
92256,**,**
92256,70,89
92256,50,131
92256,60,330
92256,100,1029
92256,**,**
,,
92257,30,127
92257,0,0
92257,**,**
92257,30,127
92257,**,**
92257,**,**
92257,**,**
,,
92260,"3,670","50,452"
92260,180,371
92260,410,1181
92260,560,1882
92260,600,3165
92260,1230,10580
92260,690,33273
,,
92262,"3,210","36,586"
92262,120,397
92262,330,777
92262,510,1690
92262,510,2554
92262,1110,10336
92262,630,20832
,,
92264,"2,610","31,385"
92264,110,291
92264,250,611
92264,370,1626
92264,420,2267
92264,890,8042
92264,570,18548
,,
92270,"3,250","64,954"
92270,100,289
92270,200,818
92270,300,1214
92270,380,2064
92270,1100,9656
92270,1170,50913
,,
92274,360,"1,269"
92274,30,20
92274,100,101
92274,100,219
92274,50,164
92274,80,765
92274,**,**
,,
92276,440,"1,772"
92276,30,22
92276,100,129
92276,110,258
92276,100,383
92276,100,980
92276,**,**
,,
92277,980,"4,849"
92277,40,31
92277,150,261
92277,210,576
92277,190,778
92277,350,2347
92277,40,856
,,
92281,70,412
92281,**,**
92281,**,**
92281,40,140
92281,**,**
92281,30,272
92281,**,**
,,
92282,60,203
92282,**,**
92282,40,82
92282,**,**
92282,20,121
92282,**,**
92282,0,0
,,
92283,30,65
92283,**,**
92283,30,65
92283,**,**
92283,**,**
92283,**,**
92283,0,0
,,
92284,"1,690","9,360"
92284,60,101
92284,230,393
92284,360,1025
92284,340,1439
92284,600,4510
92284,100,1892
,,
92285,70,264
92285,20,21
92285,**,**
92285,30,80
92285,**,**
92285,20,163
92285,**,**
,,
92301,"1,980","5,867"
92301,120,76
92301,580,731
92301,640,1494
92301,340,1177
92301,280,1658
92301,20,731
,,
92305,90,466
92305,0,0
92305,**,**
92305,30,72
92305,20,71
92305,40,323
92305,**,**
,,
92307,"4,330","28,366"
92307,130,192
92307,540,793
92307,800,2127
92307,890,3443
92307,1630,11500
92307,340,10311
,,
92308,"3,810","25,369"
92308,140,143
92308,580,923
92308,760,1996
92308,730,2756
92308,1330,9339
92308,270,10212
,,
92309,0,0
92309,0,0
92309,0,0
92309,0,0
92309,0,0
92309,0,0
92309,0,0
,,
92310,100,336
92310,**,**
92310,30,40
92310,20,54
92310,20,58
92310,30,184
92310,**,**
,,
92311,"1,750","8,261"
92311,60,59
92311,240,426
92311,450,1295
92311,370,1421
92311,560,3667
92311,70,1393
,,
92313,"1,770","10,126"
92313,30,12
92313,200,265
92313,370,1272
92313,380,1537
92313,670,4746
92313,120,2294
,,
92314,890,"4,994"
92314,40,82
92314,120,207
92314,190,545
92314,170,652
92314,310,2177
92314,60,1331
,,
92315,770,"6,722"
92315,30,26
92315,80,198
92315,130,309
92315,120,487
92315,280,2062
92315,130,3640
,,
92316,"2,240","7,270"
92316,110,113
92316,550,689
92316,680,1600
92316,460,1683
92316,400,2442
92316,40,743
,,
92320,"1,220","7,366"
92320,40,47
92320,130,181
92320,210,559
92320,250,970
92320,500,3446
92320,90,2163
,,
92324,"4,370","21,273"
92324,190,261
92324,990,1308
92324,1160,2868
92324,850,3216
92324,970,6571
92324,210,7049
,,
92327,0,0
92327,0,0
92327,0,0
92327,0,0
92327,0,0
92327,0,0
92327,0,0
,,
92328,0,0
92328,0,0
92328,0,0
92328,0,0
92328,0,0
92328,0,0
92328,0,0
,,
92335,"5,590","17,279"
92335,250,240
92335,1640,2301
92335,1700,3890
92335,1130,4012
92335,810,5113
92335,60,1723
,,
92336,"14,050","74,457"
92336,310,387
92336,1610,2307
92336,2650,6596
92336,3000,11440
92336,5690,39341
92336,790,14386
,,
92337,"4,830","19,486"
92337,170,132
92337,830,1134
92337,1330,3223
92337,1210,4340
92337,1190,7564
92337,100,3093
,,
92339,150,985
92339,0,0
92339,**,**
92339,40,102
92339,30,107
92339,80,776
92339,**,**
,,
92342,790,"4,251"
92342,**,**
92342,90,136
92342,160,424
92342,190,701
92342,300,2054
92342,50,936
,,
92344,"2,660","14,723"
92344,80,112
92344,340,495
92344,520,1234
92344,580,2216
92344,980,6953
92344,160,3713
,,
92345,"6,220","26,665"
92345,250,252
92345,1140,1548
