"ZIP
code [1]",State and local income taxes,
,Number of returns,Amount
90057,220,1813
90057,40,1526
,,
90058,170,"15,578"
90058,**,**
90058,40,67
90058,30,85
90058,40,324
90058,**,**
90058,60,15102
,,
90059,"2,230","5,626"
90059,140,85
90059,780,928
90059,710,1683
90059,370,1426
90059,230,1504
90059,**,**
,,
90061,"1,590","5,319"
90061,100,47
90061,530,672
90061,490,1184
90061,280,1119
90061,190,2297
90061,**,**
,,
90062,"2,300","7,088"
90062,130,81
90062,760,924
90062,670,1636
90062,390,1543
90062,320,2306
90062,30,598
,,
90063,"2,580","9,894"
90063,160,140
90063,780,967
90063,760,1998
90063,470,2105
90063,370,2601
90063,40,2083
,,
90064,"6,630","341,717"
90064,150,648
90064,280,984
90064,540,2378
90064,670,3945
90064,2080,21568
90064,2910,312194
,,
90065,"5,640","49,968"
90065,160,213
90065,650,1055
90065,850,2555
90065,930,4556
90065,2150,19125
90065,900,22464
,,
90066,"9,590","151,735"
90066,220,800
90066,650,1762
90066,1080,4319
90066,1430,7987
90066,3450,33044
90066,2760,103823
,,
90067,"2,150","340,898"
90067,60,377
90067,60,333
90067,110,792
90067,120,1272
90067,430,4902
90067,1370,333222
,,
90068,"5,090","114,464"
90068,160,476
90068,410,1168
90068,570,2347
90068,660,4087
90068,1620,16439
90068,1670,89947
,,
90069,"6,190","199,564"
90069,180,977
90069,420,1221
90069,690,2995
90069,890,5560
90069,2180,25019
90069,1830,163792
,,
90077,"2,430","218,140"
90077,70,314
90077,70,502
90077,110,762
90077,170,1027
90077,520,5221
90077,1490,210314
,,
90094,"2,670","52,474"
90094,40,59
90094,100,310
90094,190,708
90094,320,2042
90094,990,10442
90094,1030,38913
,,
90201,"3,880","11,838"
90201,280,182
90201,1330,1653
90201,1160,2776
90201,620,2395
90201,450,2930
90201,40,1902
,,
90210,"5,370","700,149"
90210,150,1129
90210,190,1374
90210,250,1816
90210,340,3102
90210,1070,12398
90210,3370,680330
,,
90211,"2,290","159,686"
90211,80,254
90211,130,542
90211,170,651
90211,230,1548
90211,610,6516
90211,1070,150175
,,
90212,"3,340","353,537"
90212,110,485
90212,160,549
90212,270,1518
90212,330,2334
90212,910,10418
90212,1560,338233
,,
90220,"4,070","15,887"
90220,210,142
90220,1240,1588
90220,1300,3151
90220,730,2792
90220,540,3531
90220,50,4683
,,
90221,"3,470","9,464"
90221,250,161
90221,1170,1405
90221,1050,2386
90221,600,2203
90221,380,2370
90221,20,939
,,
90222,"2,160","5,709"
90222,110,58
90222,720,907
90222,720,1711
90222,370,1442
90222,240,1591
90222,**,**
,,
90230,"6,150","85,328"
90230,140,495
90230,410,822
90230,790,2643
90230,950,4861
90230,2510,22614
90230,1350,53893
,,
90232,"3,020","46,683"
90232,60,214
90232,190,503
90232,340,1292
90232,440,2450
90232,1090,10503
90232,900,31721
,,
90240,"3,710","34,241"
90240,90,238
90240,410,775
90240,640,1950
90240,710,3021
90240,1380,10475
90240,480,17782
,,
90241,"4,930","34,223"
90241,130,135
90241,710,1050
